Average of AverageDistance,Column Labels,,,,,,,,,
Row Labels,MIP_0.0_0.0_1.0,MIP_0.0_1.0_0.0,MIP_0.4_0.4_0.2,MIP_0.5_0.3_0.2,MIP_1.0_0.0_0.0,MostChangedInterval (5),MostChangedInterval (500),Random,RecentChanges,Grand Total
39,0.612222222,0.698888889,0.695555556,0.714444444,0.564444444,0.506666667,0.561111111,0.512222222,0.532222222,0.599753086
40,0.522222222,0.698888889,0.693333333,0.674444444,0.572222222,0.51,0.572222222,0.517222222,0.522222222,0.586975309
41,0.47,0.62,0.62,0.646666667,0.557777778,0.501111111,0.586666667,0.495555556,0.451111111,0.549876543
42,0.556666667,0.67,0.68,0.7,0.627777778,0.473333333,0.57,0.472777778,0.448333333,0.577654321
43,0.548888889,0.647777778,0.694444444,0.713333333,0.574444444,0.54,0.603333333,0.494444444,0.525555556,0.593580247
44,0.587777778,0.731111111,0.724444444,0.724444444,0.6,0.554444444,0.498888889,0.526111111,0.487777778,0.603888889
45,0.524444444,0.642222222,0.653333333,0.666666667,0.558888889,0.545555556,0.495555556,0.502222222,0.526666667,0.568395062
46,0.537222222,0.688888889,0.695555556,0.702222222,0.625555556,0.525555556,0.527777778,0.531111111,0.500555556,0.592716049
47,0.5,0.555555556,0.543333333,0.56,0.588888889,0.507777778,0.492222222,0.475,0.468888889,0.521296296
48,0.576666667,0.673333333,0.735555556,0.688888889,0.577777778,0.565555556,0.565555556,0.524444444,0.545555556,0.605925926
49,0.564444444,0.65,0.694444444,0.693333333,0.598888889,0.539444444,0.562222222,0.487222222,0.483333333,0.585925926
50,0.531111111,0.634444444,0.641111111,0.651111111,0.588888889,0.526666667,0.576666667,0.534444444,0.471111111,0.572839506
51,0.525,0.64,0.635,0.637222222,0.626111111,0.476666667,0.492222222,0.506666667,0.524444444,0.562592593
52,0.495555556,0.641111111,0.631111111,0.641111111,0.596666667,0.5,0.544444444,0.489444444,0.45,0.554382716
53,0.595555556,0.703333333,0.708888889,0.697777778,0.606111111,0.547777778,0.553333333,0.515555556,0.492222222,0.602283951
54,0.548888889,0.675555556,0.642222222,0.656666667,0.558888889,0.497777778,0.586666667,0.49,0.497777778,0.572716049
55,0.557777778,0.648888889,0.687777778,0.696666667,0.56,0.488888889,0.571111111,0.517222222,0.473333333,0.577962963
56,0.561111111,0.613333333,0.627777778,0.647777778,0.586666667,0.487777778,0.562222222,0.540555556,0.526666667,0.572654321
57,0.578888889,0.707777778,0.713333333,0.735555556,0.582222222,0.536666667,0.558888889,0.506111111,0.486111111,0.600617284
58,0.554444444,0.632222222,0.688888889,0.704444444,0.606666667,0.48,0.583333333,0.493888889,0.517777778,0.58462963
59,0.489444444,0.567222222,0.583888889,0.610555556,0.641666667,0.448888889,0.56,0.514444444,0.486666667,0.544753086
Grand Total,0.551074074,0.65887037,0.684287037,0.682685185,0.602222222,0.508944444,0.549731481,0.50187963,0.491555556,0.58125
