algorithm,iteration,conflicts,unknown,notConflicts,percentColored
MIP,64,8,10,22,0.85
MIP,65,8,10,22,0.85
MIP,66,7,10,23,0.85
MIP,67,8,10,22,0.85
MIP,68,8,10,22,0.85
MIP,69,8,10,22,0.85
MIP,70,8,10,22,0.85
MIP,71,9,10,21,0.85
MIP,72,7,10,23,0.85
MIP,73,7,10,23,0.85
MIP,74,9,10,21,0.85
MIP,75,9,10,21,0.85
MIP,76,8,10,22,0.85
MIP,77,10,10,20,0.85
MIP,78,10,10,20,0.85
MIP,79,8,10,22,0.85
MIP,80,8,10,22,0.85
MIP,81,8,10,22,0.85
MIP,82,9,10,21,0.85
MIP,83,9,10,21,0.85
MIP,84,9,10,21,0.85
MIP,85,9,10,21,0.85
MIP,86,9,10,21,0.85
MIP,87,9,10,21,0.85
MIP,88,8,10,22,0.85
MIP,89,8,10,22,0.85
MIP,90,8,10,22,0.85
MIP,91,8,10,22,0.85
MIP,92,8,10,22,0.85
MIP,93,8,10,22,0.85
MIP,94,8,10,22,0.85
MIP,95,8,10,22,0.85
MIP,96,8,10,22,0.85
MIP,97,9,10,21,0.85
MIP,98,9,10,21,0.85
MIP,99,9,10,21,0.85
MIP,100,8,10,22,0.85
MIP,101,10,10,20,0.85
